time,epoch,batch,loss,cost
0min5sec,0,0,-61.552,29.550
0min19sec,0,10,125.918,25.113
0min19sec,0,20,104.707,23.039
0min18sec,0,30,77.687,21.833
0min16sec,0,40,62.852,20.895
0min16sec,0,50,50.916,20.205
0min16sec,0,60,40.496,19.727
0min18sec,0,70,31.904,19.400
0min17sec,0,80,27.475,19.095
0min15sec,0,90,24.060,18.821
0min14sec,0,100,20.602,18.590
0min14sec,0,110,17.141,18.386
0min14sec,0,120,12.929,18.230
0min16sec,0,130,9.988,18.092
0min16sec,0,140,5.559,18.000
0min15sec,0,150,2.143,17.933
0min15sec,0,160,0.984,17.846
0min15sec,0,170,0.490,17.748
0min16sec,0,180,-0.297,17.658
0min15sec,0,190,-1.823,17.595
0min15sec,0,200,-2.421,17.527
0min14sec,0,210,-2.531,17.454
0min15sec,0,220,-2.539,17.372
0min14sec,0,230,-2.515,17.284
0min15sec,0,240,-2.550,17.197
0min16sec,0,250,-2.706,17.118
0min14sec,0,260,-2.769,17.042
0min13sec,0,270,-2.662,16.961
0min13sec,0,280,-2.829,16.886
0min13sec,0,290,-2.819,16.812
0min13sec,0,300,-2.904,16.741
0min14sec,0,310,-3.010,16.677
0min14sec,0,320,-2.994,16.615
0min13sec,0,330,-3.012,16.554
0min14sec,0,340,-3.046,16.495
0min13sec,0,350,-3.058,16.439
0min14sec,0,360,-3.126,16.389
0min14sec,0,370,-3.047,16.334
0min13sec,0,380,-3.053,16.281
0min13sec,0,390,-3.019,16.230
0min14sec,0,400,-2.941,16.179
0min13sec,0,410,-2.869,16.128
0min14sec,0,420,-2.880,16.079
0min15sec,0,430,-2.974,16.037
0min14sec,0,440,-2.882,15.993
0min14sec,0,450,-2.809,15.948
0min14sec,0,460,-2.768,15.902
0min14sec,0,470,-2.799,15.864
0min13sec,0,480,-2.747,15.823
0min15sec,0,490,-2.881,15.788
0min16sec,0,500,-2.992,15.762
0min14sec,0,510,-2.922,15.730
0min13sec,0,520,-2.853,15.695
0min14sec,0,530,-2.799,15.660
0min13sec,0,540,-2.727,15.624
0min14sec,0,550,-2.642,15.587
0min14sec,0,560,-2.605,15.552
0min14sec,0,570,-2.580,15.519
0min14sec,0,580,-2.538,15.487
0min14sec,0,590,-2.531,15.457
0min14sec,0,600,-2.467,15.424
0min14sec,0,610,-2.432,15.393
0min13sec,0,620,-2.406,15.362
0min13sec,0,630,-2.358,15.331
0min14sec,0,640,-2.361,15.302
0min14sec,0,650,-2.310,15.274
0min13sec,0,660,-2.274,15.247
0min14sec,0,670,-2.241,15.221
0min14sec,0,680,-2.213,15.195
0min14sec,0,690,-2.189,15.170
0min13sec,0,700,-2.165,15.146
0min14sec,0,710,-2.139,15.123
0min13sec,0,720,-2.122,15.100
0min14sec,0,730,-2.112,15.077
0min14sec,0,740,-2.106,15.055
0min14sec,0,750,-2.086,15.033
0min13sec,0,760,-2.070,15.011
0min14sec,0,770,-2.065,14.991
0min13sec,0,780,-2.045,14.970
0min13sec,0,790,-2.022,14.949
0min14sec,0,800,-1.998,14.928
0min13sec,0,810,-1.964,14.907
0min13sec,0,820,-1.947,14.886
0min13sec,0,830,-1.952,14.868
0min14sec,0,840,-1.937,14.849
0min14sec,0,850,-1.942,14.832
0min14sec,0,860,-1.929,14.815
0min14sec,0,870,-1.897,14.796
0min13sec,0,880,-1.866,14.777
0min13sec,0,890,-1.852,14.758
0min13sec,0,900,-1.852,14.741
0min13sec,0,910,-1.834,14.724
0min13sec,0,920,-1.839,14.709
0min13sec,0,930,-1.806,14.692
0min13sec,0,940,-1.791,14.676
0min13sec,0,950,-1.782,14.660
0min13sec,0,960,-1.764,14.644
0min13sec,0,970,-1.763,14.630
0min14sec,0,980,-1.782,14.617
0min15sec,0,990,-1.762,14.603
0min14sec,0,1000,-1.746,14.589
0min13sec,0,1010,-1.727,14.574
0min14sec,0,1020,-1.708,14.559
0min14sec,0,1030,-1.688,14.544
0min14sec,0,1040,-1.687,14.531
0min14sec,0,1050,-1.679,14.517
0min14sec,0,1060,-1.675,14.503
0min14sec,0,1070,-1.675,14.490
0min14sec,0,1080,-1.671,14.477
0min14sec,0,1090,-1.657,14.464
0min14sec,0,1100,-1.664,14.452
0min14sec,0,1110,-1.649,14.440
0min14sec,0,1120,-1.635,14.428
0min14sec,0,1130,-1.624,14.415
0min14sec,0,1140,-1.616,14.403
0min14sec,0,1150,-1.619,14.391
0min15sec,0,1160,-1.616,14.380
0min14sec,0,1170,-1.601,14.368
0min14sec,0,1180,-1.607,14.358
0min14sec,0,1190,-1.601,14.347
0min14sec,0,1200,-1.582,14.336
0min14sec,0,1210,-1.567,14.325
0min14sec,0,1220,-1.553,14.314
0min14sec,0,1230,-1.529,14.303
0min14sec,0,1240,-1.524,14.292
0min14sec,0,1250,-1.513,14.282
0min14sec,0,1260,-1.504,14.272
0min14sec,0,1270,-1.498,14.263
0min14sec,0,1280,-1.484,14.253
0min14sec,0,1290,-1.469,14.243
0min14sec,0,1300,-1.453,14.233
0min14sec,0,1310,-1.442,14.224
0min14sec,0,1320,-1.428,14.214
0min14sec,0,1330,-1.417,14.204
0min13sec,0,1340,-1.408,14.195
0min14sec,0,1350,-1.390,14.185
0min14sec,0,1360,-1.396,14.176
0min14sec,0,1370,-1.383,14.167
0min14sec,0,1380,-1.377,14.159
0min14sec,0,1390,-1.370,14.150
0min14sec,0,1400,-1.360,14.141
0min14sec,0,1410,-1.345,14.132
0min14sec,0,1420,-1.343,14.123
0min13sec,0,1430,-1.351,14.116
0min14sec,0,1440,-1.340,14.108
0min14sec,0,1450,-1.334,14.100
0min14sec,0,1460,-1.329,14.092
0min14sec,0,1470,-1.317,14.083
0min14sec,0,1480,-1.317,14.075
0min13sec,0,1490,-1.314,14.067
0min14sec,0,1500,-1.305,14.059
0min15sec,0,1510,-1.303,14.051
0min14sec,0,1520,-1.295,14.043
0min13sec,0,1530,-1.297,14.036
0min13sec,0,1540,-1.279,14.028
0min14sec,0,1550,-1.279,14.021
0min14sec,0,1560,-1.270,14.014
0min14sec,0,1570,-1.265,14.007
0min14sec,0,1580,-1.252,13.999
0min14sec,0,1590,-1.249,13.992
0min14sec,0,1600,-1.252,13.986
0min14sec,0,1610,-1.249,13.979
0min13sec,0,1620,-1.240,13.972
0min14sec,0,1630,-1.237,13.966
0min14sec,0,1640,-1.231,13.959
0min14sec,0,1650,-1.225,13.952
0min14sec,0,1660,-1.220,13.946
0min14sec,0,1670,-1.213,13.939
0min13sec,0,1680,-1.203,13.932
0min14sec,0,1690,-1.194,13.925
0min14sec,0,1700,-1.185,13.919
0min13sec,0,1710,-1.178,13.912
0min13sec,0,1720,-1.169,13.906
0min13sec,0,1730,-1.163,13.900
0min13sec,0,1740,-1.155,13.893
0min14sec,0,1750,-1.150,13.887
0min14sec,0,1760,-1.143,13.881
0min14sec,0,1770,-1.135,13.875
0min13sec,0,1780,-1.134,13.870
0min13sec,0,1790,-1.131,13.865
0min13sec,0,1800,-1.120,13.859
0min13sec,0,1810,-1.114,13.853
0min13sec,0,1820,-1.107,13.847
0min13sec,0,1830,-1.094,13.841
0min14sec,0,1840,-1.094,13.835
0min14sec,0,1850,-1.096,13.830
0min14sec,0,1860,-1.087,13.824
0min14sec,0,1870,-1.076,13.818
0min13sec,0,1880,-1.070,13.812
0min13sec,0,1890,-1.061,13.807
0min13sec,0,1900,-1.058,13.801
0min14sec,0,1910,-1.057,13.796
0min13sec,0,1920,-1.048,13.790
0min13sec,0,1930,-1.047,13.785
0min13sec,0,1940,-1.048,13.781
0min13sec,0,1950,-1.044,13.776
0min13sec,0,1960,-1.032,13.771
0min14sec,0,1970,-1.024,13.765
0min13sec,0,1980,-1.014,13.760
0min14sec,0,1990,-1.008,13.755
0min13sec,0,2000,-0.999,13.750
