time,epoch,batch,loss,cost
3min52sec,0,0,-0.759,14.687
0min2sec,0,10,26.180,13.081
0min1sec,0,20,23.005,12.072
0min1sec,0,30,18.597,11.357
0min1sec,0,40,15.341,10.818
0min1sec,0,50,12.919,10.405
0min1sec,0,60,11.082,10.070
0min1sec,0,70,9.689,9.797
0min1sec,0,80,8.564,9.575
0min1sec,0,90,7.674,9.391
0min1sec,0,100,6.905,9.238
0min1sec,0,110,6.287,9.110
0min1sec,0,120,5.785,9.000
0min1sec,0,130,5.359,8.903
0min1sec,0,140,4.990,8.817
0min1sec,0,150,4.658,8.743
0min1sec,0,160,4.386,8.676
0min1sec,0,170,4.141,8.616
0min1sec,0,180,3.920,8.561
0min1sec,0,190,3.711,8.512
0min1sec,0,200,3.547,8.465
0min1sec,0,210,3.376,8.423
0min1sec,0,220,3.219,8.384
0min1sec,0,230,3.070,8.349
0min1sec,0,240,2.955,8.315
0min1sec,0,250,2.846,8.283
0min1sec,0,260,2.731,8.254
0min1sec,0,270,2.630,8.228
0min1sec,0,280,2.535,8.202
0min1sec,0,290,2.448,8.179
0min1sec,0,300,2.364,8.156
0min1sec,0,310,2.290,8.134
0min1sec,0,320,2.224,8.114
0min1sec,0,330,2.160,8.095
0min1sec,0,340,2.099,8.077
0min1sec,0,350,2.044,8.059
0min1sec,0,360,1.990,8.041
0min1sec,0,370,1.937,8.025
0min1sec,0,380,1.884,8.010
0min1sec,0,390,1.832,7.997
0min1sec,0,400,1.788,7.984
0min1sec,0,410,1.746,7.971
0min1sec,0,420,1.706,7.958
0min1sec,0,430,1.666,7.946
0min1sec,0,440,1.634,7.934
0min1sec,0,450,1.598,7.922
0min1sec,0,460,1.564,7.910
0min1sec,0,470,1.531,7.899
0min1sec,0,480,1.494,7.888
0min1sec,0,490,1.456,7.879
0min1sec,0,500,1.427,7.870
0min1sec,0,510,1.405,7.859
0min1sec,0,520,1.370,7.851
0min1sec,0,530,1.346,7.842
0min1sec,0,540,1.320,7.833
0min1sec,0,550,1.298,7.824
0min1sec,0,560,1.274,7.816
0min1sec,0,570,1.252,7.808
0min1sec,0,580,1.230,7.801
0min1sec,0,590,1.211,7.794
0min1sec,0,600,1.194,7.786
0min1sec,0,610,1.178,7.778
0min1sec,0,620,1.159,7.772
0min1sec,0,630,1.141,7.765
0min1sec,0,640,1.125,7.758
0min1sec,0,650,1.108,7.752
0min1sec,0,660,1.090,7.745
0min1sec,0,670,1.076,7.740
0min1sec,0,680,1.065,7.734
0min1sec,0,690,1.050,7.729
0min1sec,0,700,1.039,7.722
0min1sec,0,710,1.026,7.716
0min1sec,0,720,1.015,7.711
0min1sec,0,730,1.000,7.705
0min1sec,0,740,0.990,7.700
0min1sec,0,750,0.978,7.695
0min1sec,0,760,0.966,7.690
0min1sec,0,770,0.957,7.685
0min1sec,0,780,0.946,7.680
0min1sec,0,790,0.934,7.676
0min1sec,0,800,0.925,7.671
0min1sec,0,810,0.914,7.666
0min1sec,0,820,0.905,7.661
0min1sec,0,830,0.897,7.656
0min1sec,0,840,0.884,7.652
0min1sec,0,850,0.876,7.648
0min1sec,0,860,0.868,7.644
0min1sec,0,870,0.862,7.639
0min1sec,0,880,0.854,7.635
0min1sec,0,890,0.846,7.631
0min1sec,0,900,0.840,7.626
0min1sec,0,910,0.832,7.622
0min1sec,0,920,0.826,7.618
0min1sec,0,930,0.819,7.614
0min1sec,0,940,0.813,7.610
0min1sec,0,950,0.803,7.606
0min1sec,0,960,0.794,7.603
0min1sec,0,970,0.789,7.599
0min1sec,0,980,0.780,7.595
0min1sec,0,990,0.774,7.592
0min1sec,0,1000,0.770,7.588
0min1sec,0,1010,0.765,7.584
0min1sec,0,1020,0.759,7.581
0min1sec,0,1030,0.753,7.577
0min1sec,0,1040,0.746,7.574
0min1sec,0,1050,0.740,7.571
0min1sec,0,1060,0.734,7.568
0min1sec,0,1070,0.729,7.564
0min1sec,0,1080,0.723,7.561
0min1sec,0,1090,0.718,7.559
0min1sec,0,1100,0.713,7.555
0min1sec,0,1110,0.707,7.552
0min1sec,0,1120,0.703,7.549
0min1sec,0,1130,0.697,7.546
0min1sec,0,1140,0.694,7.543
0min1sec,0,1150,0.687,7.541
0min1sec,0,1160,0.685,7.538
0min1sec,0,1170,0.678,7.535
0min1sec,0,1180,0.675,7.532
0min1sec,0,1190,0.670,7.530
0min1sec,0,1200,0.666,7.528
0min1sec,0,1210,0.662,7.525
0min1sec,0,1220,0.660,7.522
0min1sec,0,1230,0.655,7.519
0min1sec,0,1240,0.652,7.517
0min1sec,0,1250,0.646,7.515
0min1sec,0,1260,0.643,7.512
0min1sec,0,1270,0.640,7.509
0min1sec,0,1280,0.635,7.507
0min1sec,0,1290,0.631,7.505
0min1sec,0,1300,0.628,7.502
0min1sec,0,1310,0.625,7.499
0min1sec,0,1320,0.621,7.497
0min1sec,0,1330,0.618,7.495
0min1sec,0,1340,0.615,7.493
0min1sec,0,1350,0.612,7.490
0min1sec,0,1360,0.607,7.488
0min1sec,0,1370,0.604,7.486
0min1sec,0,1380,0.600,7.484
0min1sec,0,1390,0.596,7.482
0min1sec,0,1400,0.594,7.480
0min1sec,0,1410,0.590,7.478
0min1sec,0,1420,0.588,7.475
0min1sec,0,1430,0.585,7.473
0min1sec,0,1440,0.583,7.471
0min1sec,0,1450,0.581,7.469
0min1sec,0,1460,0.579,7.467
0min1sec,0,1470,0.576,7.465
0min1sec,0,1480,0.573,7.463
0min1sec,0,1490,0.570,7.461
0min1sec,0,1500,0.568,7.459
0min1sec,0,1510,0.565,7.457
0min1sec,0,1520,0.563,7.455
0min1sec,0,1530,0.562,7.453
0min1sec,0,1540,0.561,7.451
0min1sec,0,1550,0.559,7.449
0min1sec,0,1560,0.557,7.447
0min1sec,0,1570,0.555,7.445
0min1sec,0,1580,0.551,7.443
0min1sec,0,1590,0.550,7.441
0min1sec,0,1600,0.547,7.439
0min1sec,0,1610,0.546,7.437
0min1sec,0,1620,0.545,7.436
0min1sec,0,1630,0.542,7.434
0min1sec,0,1640,0.540,7.432
0min1sec,0,1650,0.538,7.430
0min1sec,0,1660,0.537,7.428
0min1sec,0,1670,0.536,7.427
0min1sec,0,1680,0.534,7.425
0min1sec,0,1690,0.532,7.424
0min1sec,0,1700,0.532,7.422
0min1sec,0,1710,0.529,7.420
0min1sec,0,1720,0.528,7.419
0min1sec,0,1730,0.526,7.417
0min1sec,0,1740,0.524,7.415
0min1sec,0,1750,0.522,7.414
0min1sec,0,1760,0.519,7.413
0min1sec,0,1770,0.517,7.411
0min1sec,0,1780,0.515,7.410
0min1sec,0,1790,0.515,7.408
0min1sec,0,1800,0.513,7.407
0min1sec,0,1810,0.512,7.405
0min1sec,0,1820,0.510,7.404
0min1sec,0,1830,0.508,7.402
0min1sec,0,1840,0.507,7.400
0min1sec,0,1850,0.506,7.399
0min1sec,0,1860,0.505,7.398
0min1sec,0,1870,0.504,7.396
0min1sec,0,1880,0.502,7.395
0min1sec,0,1890,0.501,7.393
0min1sec,0,1900,0.500,7.392
0min1sec,0,1910,0.499,7.390
0min1sec,0,1920,0.496,7.388
0min1sec,0,1930,0.495,7.387
0min1sec,0,1940,0.493,7.386
0min1sec,0,1950,0.492,7.384
0min1sec,0,1960,0.490,7.383
0min1sec,0,1970,0.489,7.381
0min1sec,0,1980,0.488,7.380
0min1sec,0,1990,0.487,7.379
0min1sec,0,2000,0.485,7.377
0min1sec,0,2010,0.484,7.376
0min1sec,0,2020,0.483,7.374
0min1sec,0,2030,0.481,7.373
0min1sec,0,2040,0.480,7.372
0min1sec,0,2050,0.478,7.371
0min1sec,0,2060,0.478,7.370
0min1sec,0,2070,0.477,7.368
0min1sec,0,2080,0.476,7.367
0min1sec,0,2090,0.475,7.366
0min1sec,0,2100,0.474,7.365
0min1sec,0,2110,0.473,7.363
0min1sec,0,2120,0.472,7.362
0min1sec,0,2130,0.471,7.361
0min1sec,0,2140,0.470,7.359
0min1sec,0,2150,0.468,7.358
0min1sec,0,2160,0.467,7.357
0min1sec,0,2170,0.465,7.356
0min1sec,0,2180,0.464,7.355
0min1sec,0,2190,0.462,7.353
0min1sec,0,2200,0.461,7.352
0min1sec,0,2210,0.460,7.351
0min1sec,0,2220,0.459,7.350
0min1sec,0,2230,0.457,7.349
0min1sec,0,2240,0.456,7.348
0min1sec,0,2250,0.456,7.346
0min1sec,0,2260,0.455,7.345
0min1sec,0,2270,0.454,7.344
0min1sec,0,2280,0.452,7.343
0min1sec,0,2290,0.451,7.342
0min1sec,0,2300,0.450,7.340
0min1sec,0,2310,0.449,7.339
0min1sec,0,2320,0.447,7.338
0min1sec,0,2330,0.446,7.337
0min1sec,0,2340,0.446,7.336
0min1sec,0,2350,0.445,7.335
0min1sec,0,2360,0.444,7.334
0min1sec,0,2370,0.442,7.333
0min1sec,0,2380,0.441,7.332
0min1sec,0,2390,0.440,7.331
0min1sec,0,2400,0.440,7.329
0min1sec,0,2410,0.439,7.328
0min1sec,0,2420,0.438,7.327
0min1sec,0,2430,0.437,7.326
0min1sec,0,2440,0.436,7.325
0min1sec,0,2450,0.436,7.324
0min1sec,0,2460,0.434,7.323
0min1sec,0,2470,0.433,7.322
0min1sec,0,2480,0.432,7.321
0min1sec,0,2490,0.431,7.320
5min12sec,1,0,0.303,7.021
0min1sec,1,10,-0.278,7.041
0min1sec,1,20,-0.541,7.070
0min1sec,1,30,-0.620,7.084
0min1sec,1,40,-0.610,7.080
0min1sec,1,50,-0.601,7.078
0min1sec,1,60,-0.674,7.087
0min1sec,1,70,-0.725,7.095
0min1sec,1,80,-0.735,7.098
0min1sec,1,90,-0.772,7.102
0min1sec,1,100,-0.800,7.104
0min1sec,1,110,-0.804,7.105
0min1sec,1,120,-0.802,7.105
0min1sec,1,130,-0.784,7.104
0min1sec,1,140,-0.774,7.105
0min1sec,1,150,-0.759,7.103
0min1sec,1,160,-0.786,7.105
0min1sec,1,170,-0.786,7.105
0min1sec,1,180,-0.776,7.104
0min1sec,1,190,-0.749,7.102
0min1sec,1,200,-0.748,7.102
0min1sec,1,210,-0.758,7.102
0min1sec,1,220,-0.751,7.100
0min1sec,1,230,-0.773,7.102
0min1sec,1,240,-0.784,7.104
0min1sec,1,250,-0.802,7.106
0min1sec,1,260,-0.813,7.107
0min1sec,1,270,-0.822,7.109
0min1sec,1,280,-0.820,7.108
0min1sec,1,290,-0.826,7.109
0min1sec,1,300,-0.814,7.108
0min1sec,1,310,-0.804,7.107
0min1sec,1,320,-0.809,7.107
0min1sec,1,330,-0.802,7.106
0min1sec,1,340,-0.801,7.106
0min1sec,1,350,-0.798,7.106
0min1sec,1,360,-0.795,7.106
0min1sec,1,370,-0.805,7.107
0min1sec,1,380,-0.819,7.109
0min1sec,1,390,-0.825,7.109
0min1sec,1,400,-0.829,7.109
0min1sec,1,410,-0.834,7.109
0min1sec,1,420,-0.842,7.110
0min1sec,1,430,-0.846,7.111
0min1sec,1,440,-0.843,7.111
0min1sec,1,450,-0.842,7.111
0min1sec,1,460,-0.836,7.111
0min1sec,1,470,-0.834,7.110
0min1sec,1,480,-0.831,7.110
0min1sec,1,490,-0.828,7.110
0min1sec,1,500,-0.822,7.109
0min1sec,1,510,-0.823,7.109
0min1sec,1,520,-0.824,7.109
0min1sec,1,530,-0.827,7.110
0min1sec,1,540,-0.811,7.108
0min1sec,1,550,-0.804,7.108
0min1sec,1,560,-0.796,7.108
0min1sec,1,570,-0.791,7.107
