time,epoch,batch,loss,cost
0min9sec,0,0,-86.019,73.130
5min35sec,0,100,186.583,47.035
5min14sec,0,200,-19.159,44.492
4min22sec,0,300,-28.371,42.068
4min5sec,0,400,-30.646,39.789
3min57sec,0,500,-46.793,38.451
3min59sec,0,600,-58.712,37.453
4min4sec,0,700,-57.402,36.512
4min12sec,0,800,-58.107,35.701
4min5sec,0,900,-53.798,34.943
3min55sec,0,1000,-50.625,34.211
3min51sec,0,1100,-48.538,33.511
3min54sec,0,1200,-46.449,32.910
3min53sec,0,1300,-43.528,32.327
3min58sec,0,1400,-55.368,31.941
4min1sec,0,1500,-75.999,31.718
3min54sec,0,1600,-73.510,31.323
3min52sec,0,1700,-69.617,30.914
3min50sec,0,1800,-66.503,30.542
3min51sec,0,1900,-63.059,30.169
3min56sec,0,2000,-60.231,29.838
3min53sec,0,2100,-57.370,29.499
3min51sec,0,2200,-55.193,29.198
3min51sec,0,2300,-53.664,28.943
3min53sec,0,2400,-51.555,28.688
3min49sec,0,2500,-50.433,28.457
3min54sec,0,2600,-48.779,28.228
3min51sec,0,2700,-47.359,28.008
3min59sec,0,2800,-46.886,27.830
3min50sec,0,2900,-45.377,27.636
3min50sec,0,3000,-44.939,27.469
3min55sec,0,3100,-44.379,27.300
3min56sec,0,3200,-43.633,27.160
3min47sec,0,3300,-42.516,27.004
4min6sec,0,3400,-42.473,26.883
3min55sec,0,3500,-41.328,26.743
3min57sec,0,3600,-40.268,26.603
3min54sec,0,3700,-39.244,26.468
3min57sec,0,3800,-38.352,26.339
3min54sec,0,3900,-37.563,26.221
3min54sec,0,4000,-36.750,26.102
3min56sec,0,4100,-36.068,25.993
3min57sec,0,4200,-35.471,25.886
3min53sec,0,4300,-35.594,25.788
3min53sec,0,4400,-34.974,25.690
3min52sec,0,4500,-34.489,25.598
3min51sec,0,4600,-33.898,25.505
3min51sec,0,4700,-33.376,25.417
3min47sec,0,4800,-32.977,25.335
3min48sec,0,4900,-32.443,25.246
3min50sec,0,5000,-31.967,25.165
3min48sec,0,5100,-31.438,25.082
3min46sec,0,5200,-30.870,25.003
3min51sec,0,5300,-30.333,24.925
3min51sec,0,5400,-29.983,24.854
3min48sec,0,5500,-29.489,24.791
3min46sec,0,5600,-29.063,24.728
3min46sec,0,5700,-28.587,24.660
